,date,areaName,areaCode,newCasesByPublishDate,cumCasesByPublishDate,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate,hospitalCases,cumAdmissions
2175,2020-02-28,Wales,W92000004,1.0,1.0,0.0,0.0,0.0,0.0
2174,2020-02-29,Wales,W92000004,0.0,1.0,0.0,0.0,0.0,0.0
2173,2020-03-01,Wales,W92000004,0.0,1.0,0.0,0.0,0.0,0.0
2172,2020-03-02,Wales,W92000004,0.0,1.0,0.0,0.0,0.0,0.0
2171,2020-03-03,Wales,W92000004,0.0,1.0,0.0,0.0,0.0,0.0
2170,2020-03-04,Wales,W92000004,0.0,1.0,0.0,0.0,0.0,0.0
2169,2020-03-05,Wales,W92000004,1.0,2.0,0.0,0.0,0.0,0.0
2168,2020-03-06,Wales,W92000004,0.0,2.0,0.0,0.0,0.0,0.0
2167,2020-03-07,Wales,W92000004,0.0,2.0,0.0,0.0,0.0,0.0
2166,2020-03-08,Wales,W92000004,0.0,2.0,0.0,0.0,0.0,0.0
2165,2020-03-09,Wales,W92000004,2.0,4.0,0.0,0.0,0.0,0.0
2164,2020-03-10,Wales,W92000004,2.0,6.0,0.0,0.0,0.0,0.0
2163,2020-03-11,Wales,W92000004,9.0,15.0,0.0,0.0,0.0,0.0
2162,2020-03-12,Wales,W92000004,10.0,25.0,0.0,0.0,0.0,0.0
2161,2020-03-13,Wales,W92000004,13.0,38.0,0.0,0.0,0.0,0.0
2160,2020-03-14,Wales,W92000004,22.0,60.0,0.0,0.0,0.0,0.0
2159,2020-03-15,Wales,W92000004,34.0,94.0,0.0,0.0,0.0,0.0
2158,2020-03-16,Wales,W92000004,30.0,124.0,3.0,3.0,0.0,0.0
2157,2020-03-17,Wales,W92000004,12.0,136.0,0.0,3.0,0.0,0.0
2156,2020-03-18,Wales,W92000004,13.0,149.0,0.0,3.0,0.0,0.0
2155,2020-03-19,Wales,W92000004,21.0,170.0,3.0,6.0,0.0,0.0
2154,2020-03-20,Wales,W92000004,21.0,191.0,2.0,8.0,0.0,0.0
2153,2020-03-21,Wales,W92000004,89.0,280.0,7.0,15.0,0.0,0.0
2152,2020-03-22,Wales,W92000004,67.0,347.0,5.0,20.0,0.0,0.0
2151,2020-03-23,Wales,W92000004,71.0,418.0,4.0,24.0,110.0,32.0
2150,2020-03-24,Wales,W92000004,60.0,478.0,9.0,33.0,150.0,95.0
2149,2020-03-25,Wales,W92000004,150.0,628.0,10.0,43.0,188.0,273.0
2148,2020-03-26,Wales,W92000004,113.0,741.0,11.0,54.0,203.0,380.0
2147,2020-03-27,Wales,W92000004,180.0,921.0,10.0,64.0,243.0,498.0
2146,2020-03-28,Wales,W92000004,172.0,1093.0,15.0,79.0,310.0,624.0
2145,2020-03-29,Wales,W92000004,148.0,1241.0,18.0,97.0,329.0,757.0
2144,2020-03-30,Wales,W92000004,210.0,1451.0,16.0,113.0,387.0,904.0
2143,2020-03-31,Wales,W92000004,112.0,1563.0,15.0,128.0,439.0,1062.0
2142,2020-04-01,Wales,W92000004,274.0,1837.0,21.0,149.0,483.0,1269.0
2141,2020-04-02,Wales,W92000004,284.0,2121.0,28.0,177.0,525.0,1408.0
2140,2020-04-03,Wales,W92000004,345.0,2466.0,29.0,206.0,568.0,1518.0
2139,2020-04-04,Wales,W92000004,387.0,2853.0,31.0,237.0,596.0,1652.0
2138,2020-04-05,Wales,W92000004,344.0,3197.0,30.0,267.0,664.0,1786.0
2137,2020-04-06,Wales,W92000004,302.0,3499.0,20.0,287.0,731.0,1909.0
2136,2020-04-07,Wales,W92000004,291.0,3790.0,32.0,319.0,738.0,2105.0
2135,2020-04-08,Wales,W92000004,283.0,4073.0,42.0,361.0,816.0,2263.0
2134,2020-04-09,Wales,W92000004,16.0,4089.0,43.0,404.0,795.0,2389.0
2133,2020-04-10,Wales,W92000004,502.0,4591.0,25.0,429.0,833.0,2518.0
2132,2020-04-11,Wales,W92000004,340.0,4930.0,31.0,460.0,865.0,2624.0
2131,2020-04-12,Wales,W92000004,367.0,5297.0,37.0,497.0,910.0,2792.0
2130,2020-04-13,Wales,W92000004,313.0,5610.0,43.0,540.0,897.0,2922.0
2129,2020-04-14,Wales,W92000004,238.0,5848.0,26.0,566.0,919.0,3028.0
2128,2020-04-15,Wales,W92000004,272.0,6118.0,38.0,604.0,884.0,3179.0
2127,2020-04-16,Wales,W92000004,284.0,6401.0,35.0,639.0,844.0,3283.0
2126,2020-04-17,Wales,W92000004,244.0,6645.0,30.0,669.0,825.0,3434.0
2125,2020-04-18,Wales,W92000004,292.0,6936.0,32.0,701.0,818.0,3563.0
2124,2020-04-19,Wales,W92000004,334.0,7270.0,26.0,727.0,828.0,3665.0
2123,2020-04-20,Wales,W92000004,276.0,7546.0,25.0,752.0,853.0,3779.0
2122,2020-04-21,Wales,W92000004,304.0,7850.0,30.0,782.0,838.0,3896.0
2121,2020-04-22,Wales,W92000004,274.0,8124.0,23.0,805.0,773.0,4023.0
2120,2020-04-23,Wales,W92000004,234.0,8358.0,18.0,823.0,741.0,4157.0
2119,2020-04-24,Wales,W92000004,243.0,8601.0,31.0,854.0,743.0,4292.0
2118,2020-04-25,Wales,W92000004,299.0,8900.0,29.0,883.0,719.0,4404.0
2117,2020-04-26,Wales,W92000004,178.0,9078.0,16.0,899.0,710.0,4501.0
2116,2020-04-27,Wales,W92000004,203.0,9280.0,16.0,915.0,734.0,4596.0
2115,2020-04-28,Wales,W92000004,232.0,9512.0,15.0,930.0,676.0,4735.0
2114,2020-04-29,Wales,W92000004,117.0,9629.0,26.0,956.0,664.0,4862.0
2113,2020-04-30,Wales,W92000004,183.0,9812.0,16.0,972.0,643.0,4994.0
2112,2020-05-01,Wales,W92000004,160.0,9972.0,29.0,1001.0,529.0,5101.0
2111,2020-05-02,Wales,W92000004,183.0,10155.0,14.0,1015.0,521.0,5243.0
2110,2020-05-03,Wales,W92000004,174.0,10329.0,14.0,1029.0,539.0,5337.0
2109,2020-05-04,Wales,W92000004,195.0,10524.0,23.0,1052.0,538.0,5458.0
2108,2020-05-05,Wales,W92000004,145.0,10669.0,17.0,1069.0,501.0,5594.0
2107,2020-05-06,Wales,W92000004,95.0,10764.0,23.0,1092.0,478.0,5697.0
2106,2020-05-07,Wales,W92000004,87.0,10851.0,19.0,1111.0,470.0,5816.0
2105,2020-05-08,Wales,W92000004,152.0,11003.0,13.0,1124.0,416.0,5943.0
2104,2020-05-09,Wales,W92000004,118.0,11121.0,7.0,1131.0,448.0,6049.0
2103,2020-05-10,Wales,W92000004,223.0,11344.0,10.0,1141.0,461.0,6163.0
2102,2020-05-11,Wales,W92000004,124.0,11468.0,15.0,1156.0,465.0,6271.0
2101,2020-05-12,Wales,W92000004,105.0,11573.0,11.0,1167.0,425.0,6363.0
2100,2020-05-13,Wales,W92000004,133.0,11706.0,16.0,1183.0,394.0,6482.0
2099,2020-05-14,Wales,W92000004,128.0,11834.0,12.0,1195.0,364.0,6587.0
2098,2020-05-15,Wales,W92000004,126.0,11960.0,16.0,1211.0,336.0,6675.0
2097,2020-05-16,Wales,W92000004,183.0,12142.0,13.0,1224.0,378.0,6792.0
2096,2020-05-17,Wales,W92000004,162.0,12304.0,11.0,1235.0,373.0,6890.0
2095,2020-05-18,Wales,W92000004,101.0,12404.0,10.0,1245.0,356.0,6967.0
2094,2020-05-19,Wales,W92000004,166.0,12570.0,11.0,1256.0,329.0,7072.0
2093,2020-05-20,Wales,W92000004,110.0,12680.0,7.0,1263.0,324.0,7167.0
2092,2020-05-21,Wales,W92000004,166.0,12846.0,9.0,1272.0,309.0,7272.0
2091,2020-05-22,Wales,W92000004,138.0,12984.0,10.0,1282.0,385.0,7353.0
2090,2020-05-23,Wales,W92000004,185.0,13169.0,7.0,1289.0,383.0,7474.0
2089,2020-05-24,Wales,W92000004,140.0,13309.0,12.0,1301.0,393.0,7552.0
2088,2020-05-25,Wales,W92000004,106.0,13415.0,10.0,1311.0,380.0,7634.0
2087,2020-05-26,Wales,W92000004,141.0,13556.0,10.0,1321.0,436.0,7730.0
2086,2020-05-27,Wales,W92000004,97.0,13653.0,6.0,1327.0,425.0,7836.0
2085,2020-05-28,Wales,W92000004,72.0,13725.0,16.0,1343.0,438.0,7956.0
2084,2020-05-29,Wales,W92000004,102.0,13827.0,11.0,1354.0,431.0,8055.0
2083,2020-05-30,Wales,W92000004,86.0,13913.0,10.0,1364.0,423.0,8148.0
2082,2020-05-31,Wales,W92000004,82.0,13995.0,7.0,1371.0,433.0,8216.0
2081,2020-06-01,Wales,W92000004,59.0,14054.0,9.0,1380.0,431.0,8289.0
2080,2020-06-02,Wales,W92000004,67.0,14121.0,5.0,1385.0,427.0,8395.0
2079,2020-06-03,Wales,W92000004,82.0,14203.0,7.0,1392.0,399.0,8526.0
2078,2020-06-04,Wales,W92000004,35.0,14238.0,12.0,1404.0,395.0,8623.0
2077,2020-06-05,Wales,W92000004,76.0,14314.0,4.0,1408.0,392.0,8705.0
2076,2020-06-06,Wales,W92000004,42.0,14356.0,9.0,1417.0,404.0,8797.0
2075,2020-06-07,Wales,W92000004,40.0,14396.0,8.0,1425.0,383.0,8873.0
2074,2020-06-08,Wales,W92000004,42.0,14438.0,7.0,1432.0,352.0,8932.0
2073,2020-06-09,Wales,W92000004,42.0,14480.0,4.0,1436.0,341.0,9016.0
2072,2020-06-10,Wales,W92000004,38.0,14518.0,7.0,1443.0,319.0,9113.0
2071,2020-06-11,Wales,W92000004,63.0,14581.0,5.0,1448.0,315.0,9217.0
2070,2020-06-12,Wales,W92000004,77.0,14658.0,4.0,1452.0,294.0,9307.0
2069,2020-06-13,Wales,W92000004,45.0,14703.0,6.0,1458.0,291.0,9421.0
2068,2020-06-14,Wales,W92000004,39.0,14742.0,6.0,1464.0,293.0,9473.0
2067,2020-06-15,Wales,W92000004,62.0,14804.0,6.0,1470.0,306.0,9541.0
2066,2020-06-16,Wales,W92000004,65.0,14869.0,8.0,1478.0,303.0,9636.0
2065,2020-06-17,Wales,W92000004,53.0,14922.0,1.0,1479.0,288.0,9727.0
2064,2020-06-18,Wales,W92000004,48.0,14970.0,0.0,1479.0,285.0,9814.0
2063,2020-06-19,Wales,W92000004,31.0,15001.0,4.0,1483.0,276.0,9892.0
2062,2020-06-20,Wales,W92000004,25.0,15026.0,3.0,1486.0,271.0,9960.0
2061,2020-06-21,Wales,W92000004,100.0,15126.0,5.0,1491.0,280.0,10028.0
2060,2020-06-22,Wales,W92000004,71.0,15197.0,2.0,1493.0,297.0,10095.0
2059,2020-06-23,Wales,W92000004,51.0,15295.0,1.0,1494.0,281.0,10174.0
2058,2020-06-24,Wales,W92000004,47.0,15341.0,6.0,1500.0,270.0,10275.0
2057,2020-06-25,Wales,W92000004,125.0,15466.0,9.0,1509.0,265.0,10339.0
2056,2020-06-26,Wales,W92000004,65.0,15531.0,2.0,1511.0,254.0,10427.0
2055,2020-06-27,Wales,W92000004,46.0,15577.0,6.0,1517.0,232.0,10501.0
2054,2020-06-28,Wales,W92000004,25.0,15602.0,2.0,1519.0,246.0,10548.0
2053,2020-06-29,Wales,W92000004,116.0,15717.0,3.0,1522.0,235.0,10594.0
2052,2020-06-30,Wales,W92000004,26.0,15743.0,4.0,1526.0,234.0,10698.0
2051,2020-07-01,Wales,W92000004,32.0,15775.0,4.0,1530.0,218.0,10764.0
2050,2020-07-02,Wales,W92000004,41.0,15815.0,3.0,1533.0,206.0,10828.0
2049,2020-07-03,Wales,W92000004,26.0,15841.0,0.0,1533.0,198.0,10893.0
2048,2020-07-04,Wales,W92000004,34.0,15875.0,2.0,1535.0,190.0,10971.0
2047,2020-07-05,Wales,W92000004,15.0,15890.0,2.0,1537.0,187.0,11034.0
2046,2020-07-06,Wales,W92000004,8.0,15898.0,2.0,1539.0,186.0,11084.0
2045,2020-07-07,Wales,W92000004,2.0,15900.0,1.0,1540.0,181.0,11148.0
2044,2020-07-08,Wales,W92000004,13.0,15913.0,1.0,1541.0,177.0,11211.0
2043,2020-07-09,Wales,W92000004,16.0,15929.0,1.0,1542.0,172.0,11286.0
2042,2020-07-10,Wales,W92000004,10.0,15939.0,0.0,1542.0,133.0,11354.0
2041,2020-07-11,Wales,W92000004,7.0,15946.0,1.0,1543.0,127.0,11430.0
2040,2020-07-12,Wales,W92000004,16.0,15962.0,0.0,1543.0,133.0,11471.0
2039,2020-07-13,Wales,W92000004,11.0,15973.0,2.0,1545.0,140.0,11521.0
2038,2020-07-14,Wales,W92000004,21.0,16836.0,1.0,1546.0,136.0,11584.0
2037,2020-07-15,Wales,W92000004,18.0,16854.0,0.0,1546.0,131.0,11632.0
2036,2020-07-16,Wales,W92000004,18.0,16871.0,1.0,1547.0,136.0,11680.0
2035,2020-07-17,Wales,W92000004,16.0,16887.0,0.0,1547.0,119.0,11739.0
2034,2020-07-18,Wales,W92000004,10.0,16897.0,0.0,1547.0,125.0,11793.0
2033,2020-07-19,Wales,W92000004,31.0,16928.0,0.0,1547.0,113.0,11844.0
2032,2020-07-20,Wales,W92000004,15.0,16943.0,0.0,1547.0,130.0,11887.0
2031,2020-07-21,Wales,W92000004,22.0,16965.0,1.0,1548.0,118.0,11933.0
2030,2020-07-22,Wales,W92000004,22.0,16987.0,1.0,1549.0,123.0,12005.0
2029,2020-07-23,Wales,W92000004,43.0,17030.0,0.0,1549.0,132.0,12093.0
2028,2020-07-24,Wales,W92000004,45.0,17075.0,1.0,1550.0,132.0,12154.0
2027,2020-07-25,Wales,W92000004,30.0,17105.0,2.0,1552.0,129.0,12202.0
2026,2020-07-26,Wales,W92000004,22.0,17125.0,2.0,1554.0,127.0,12247.0
2025,2020-07-27,Wales,W92000004,45.0,17170.0,1.0,1555.0,130.0,12290.0
2024,2020-07-28,Wales,W92000004,21.0,17191.0,2.0,1557.0,136.0,12339.0
2023,2020-07-29,Wales,W92000004,32.0,17223.0,4.0,1561.0,137.0,12403.0
2022,2020-07-30,Wales,W92000004,9.0,17232.0,2.0,1563.0,132.0,12456.0
2021,2020-07-31,Wales,W92000004,26.0,17258.0,4.0,1567.0,116.0,12510.0
2020,2020-08-01,Wales,W92000004,21.0,17279.0,2.0,1569.0,124.0,12583.0
2019,2020-08-02,Wales,W92000004,37.0,17315.0,2.0,1571.0,116.0,12618.0
2018,2020-08-03,Wales,W92000004,24.0,17339.0,1.0,1572.0,119.0,12647.0
2017,2020-08-04,Wales,W92000004,22.0,17361.0,4.0,1576.0,115.0,12712.0
2016,2020-08-05,Wales,W92000004,14.0,17374.0,3.0,1579.0,105.0,12786.0
2015,2020-08-06,Wales,W92000004,15.0,17389.0,0.0,1579.0,103.0,12831.0
2014,2020-08-07,Wales,W92000004,17.0,17406.0,5.0,1584.0,96.0,12884.0
2013,2020-08-08,Wales,W92000004,19.0,17425.0,2.0,1586.0,88.0,12939.0
2012,2020-08-09,Wales,W92000004,26.0,17451.0,0.0,1586.0,82.0,12990.0
2011,2020-08-10,Wales,W92000004,12.0,17463.0,2.0,1588.0,78.0,13021.0
2010,2020-08-11,Wales,W92000004,13.0,17476.0,0.0,1588.0,69.0,13068.0
2009,2020-08-12,Wales,W92000004,8.0,17484.0,1.0,1589.0,69.0,13113.0
2008,2020-08-13,Wales,W92000004,15.0,17499.0,1.0,1590.0,68.0,13176.0
2007,2020-08-14,Wales,W92000004,18.0,17516.0,1.0,1591.0,70.0,13215.0
2006,2020-08-15,Wales,W92000004,27.0,17543.0,0.0,1591.0,69.0,13267.0
2005,2020-08-16,Wales,W92000004,18.0,17561.0,0.0,1591.0,71.0,13304.0
2004,2020-08-17,Wales,W92000004,14.0,17575.0,0.0,1591.0,71.0,13342.0
2003,2020-08-18,Wales,W92000004,24.0,17599.0,2.0,1593.0,61.0,13405.0
2002,2020-08-19,Wales,W92000004,21.0,17620.0,0.0,1593.0,60.0,13450.0
