,date,newCasesByPublishDate,cumCasesByPublishDate,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
528,2020-03-05,0.0,0.0,1.0,1.0
527,2020-03-06,0.0,0.0,0.0,1.0
526,2020-03-07,0.0,0.0,0.0,1.0
525,2020-03-08,0.0,0.0,0.0,1.0
524,2020-03-09,0.0,0.0,0.0,1.0
523,2020-03-10,0.0,0.0,0.0,1.0
522,2020-03-11,0.0,0.0,0.0,1.0
521,2020-03-12,0.0,0.0,0.0,1.0
520,2020-03-13,0.0,0.0,0.0,1.0
519,2020-03-14,0.0,0.0,1.0,2.0
518,2020-03-15,0.0,0.0,1.0,3.0
517,2020-03-16,0.0,0.0,0.0,3.0
516,2020-03-17,0.0,0.0,0.0,3.0
515,2020-03-18,0.0,0.0,2.0,5.0
514,2020-03-19,0.0,0.0,0.0,5.0
513,2020-03-20,0.0,0.0,0.0,5.0
512,2020-03-21,0.0,0.0,1.0,6.0
511,2020-03-22,0.0,0.0,0.0,6.0
510,2020-03-23,0.0,0.0,1.0,7.0
509,2020-03-24,0.0,0.0,1.0,8.0
508,2020-03-25,0.0,0.0,3.0,11.0
507,2020-03-26,0.0,0.0,4.0,15.0
506,2020-03-27,0.0,0.0,3.0,18.0
505,2020-03-28,0.0,0.0,0.0,18.0
504,2020-03-29,0.0,0.0,0.0,18.0
503,2020-03-30,0.0,0.0,2.0,20.0
502,2020-03-31,0.0,0.0,2.0,22.0
501,2020-04-01,0.0,0.0,3.0,25.0
500,2020-04-02,0.0,0.0,1.0,26.0
499,2020-04-03,0.0,0.0,3.0,29.0
498,2020-04-04,0.0,0.0,5.0,34.0
497,2020-04-05,0.0,0.0,4.0,38.0
496,2020-04-06,0.0,0.0,2.0,40.0
495,2020-04-07,0.0,0.0,5.0,45.0
494,2020-04-08,0.0,0.0,2.0,47.0
493,2020-04-09,0.0,0.0,1.0,48.0
492,2020-04-10,0.0,0.0,4.0,52.0
491,2020-04-11,0.0,0.0,1.0,53.0
490,2020-04-12,0.0,0.0,1.0,54.0
489,2020-04-13,0.0,0.0,7.0,61.0
488,2020-04-14,0.0,0.0,1.0,62.0
487,2020-04-15,0.0,0.0,3.0,65.0
486,2020-04-16,0.0,0.0,3.0,68.0
485,2020-04-17,0.0,0.0,4.0,72.0
484,2020-04-18,0.0,0.0,1.0,73.0
483,2020-04-19,0.0,0.0,3.0,76.0
482,2020-04-20,0.0,0.0,3.0,79.0
481,2020-04-21,0.0,0.0,4.0,83.0
480,2020-04-22,5.0,0.0,1.0,84.0
479,2020-04-23,8.0,0.0,4.0,88.0
478,2020-04-24,9.0,0.0,1.0,89.0
477,2020-04-25,13.0,0.0,2.0,91.0
476,2020-04-26,7.0,0.0,0.0,91.0
475,2020-04-27,4.0,0.0,0.0,91.0
474,2020-04-28,5.0,0.0,0.0,91.0
473,2020-04-29,2.0,0.0,0.0,91.0
472,2020-04-30,5.0,0.0,2.0,93.0
471,2020-05-01,3.0,0.0,3.0,96.0
470,2020-05-02,18.0,0.0,0.0,96.0
469,2020-05-03,6.0,0.0,0.0,96.0
468,2020-05-04,3.0,0.0,0.0,96.0
467,2020-05-05,1.0,0.0,1.0,97.0
466,2020-05-06,5.0,0.0,1.0,98.0
465,2020-05-07,0.0,0.0,0.0,98.0
464,2020-05-08,5.0,0.0,0.0,98.0
463,2020-05-09,6.0,0.0,1.0,99.0
462,2020-05-10,3.0,0.0,1.0,100.0
461,2020-05-11,0.0,0.0,3.0,103.0
460,2020-05-12,2.0,0.0,0.0,103.0
459,2020-05-13,1.0,0.0,1.0,104.0
458,2020-05-14,1.0,0.0,0.0,104.0
457,2020-05-15,1.0,0.0,0.0,104.0
456,2020-05-16,1.0,0.0,0.0,104.0
455,2020-05-17,3.0,0.0,0.0,104.0
454,2020-05-18,1.0,0.0,1.0,105.0
453,2020-05-19,0.0,0.0,0.0,105.0
452,2020-05-20,0.0,0.0,0.0,105.0
451,2020-05-21,0.0,0.0,0.0,105.0
450,2020-05-22,1.0,0.0,0.0,105.0
449,2020-05-23,1.0,0.0,0.0,105.0
448,2020-05-24,0.0,0.0,0.0,105.0
447,2020-05-25,1.0,0.0,0.0,105.0
446,2020-05-26,0.0,0.0,0.0,105.0
445,2020-05-27,2.0,0.0,0.0,105.0
444,2020-05-28,0.0,0.0,0.0,105.0
443,2020-05-29,0.0,0.0,0.0,105.0
442,2020-05-30,1.0,0.0,1.0,106.0
441,2020-05-31,0.0,0.0,0.0,106.0
440,2020-06-01,0.0,0.0,0.0,106.0
439,2020-06-02,1.0,0.0,0.0,106.0
438,2020-06-03,0.0,0.0,0.0,106.0
437,2020-06-04,0.0,0.0,0.0,106.0
436,2020-06-05,0.0,0.0,0.0,106.0
435,2020-06-06,0.0,0.0,0.0,106.0
434,2020-06-07,0.0,0.0,0.0,106.0
433,2020-06-08,0.0,0.0,0.0,106.0
432,2020-06-09,2.0,0.0,0.0,106.0
431,2020-06-10,0.0,0.0,0.0,106.0
430,2020-06-11,0.0,0.0,0.0,106.0
429,2020-06-12,1.0,0.0,0.0,106.0
428,2020-06-13,0.0,0.0,0.0,106.0
427,2020-06-14,0.0,0.0,1.0,107.0
426,2020-06-15,0.0,0.0,0.0,107.0
425,2020-06-16,0.0,0.0,0.0,107.0
424,2020-06-17,0.0,0.0,0.0,107.0
423,2020-06-18,0.0,0.0,0.0,107.0
422,2020-06-19,0.0,0.0,0.0,107.0
421,2020-06-20,1.0,0.0,0.0,107.0
420,2020-06-21,0.0,0.0,0.0,107.0
419,2020-06-22,0.0,0.0,0.0,107.0
418,2020-06-23,1.0,0.0,0.0,107.0
417,2020-06-24,0.0,0.0,0.0,107.0
416,2020-06-25,2.0,0.0,0.0,107.0
415,2020-06-26,0.0,0.0,0.0,107.0
414,2020-06-27,0.0,0.0,1.0,108.0
413,2020-06-28,0.0,0.0,0.0,108.0
412,2020-06-29,0.0,0.0,0.0,108.0
411,2020-06-30,1.0,0.0,0.0,108.0
410,2020-07-01,330.0,0.0,0.0,108.0
409,2020-07-02,0.0,0.0,0.0,108.0
408,2020-07-03,1.0,0.0,0.0,108.0
407,2020-07-04,0.0,0.0,0.0,108.0
406,2020-07-05,0.0,0.0,0.0,108.0
405,2020-07-06,0.0,0.0,0.0,108.0
404,2020-07-07,4.0,0.0,0.0,108.0
403,2020-07-08,2.0,0.0,0.0,108.0
402,2020-07-09,1.0,0.0,0.0,108.0
401,2020-07-10,0.0,0.0,0.0,108.0
400,2020-07-11,1.0,0.0,0.0,108.0
399,2020-07-12,1.0,0.0,0.0,108.0
398,2020-07-13,1.0,0.0,0.0,108.0
397,2020-07-14,2.0,0.0,0.0,108.0
396,2020-07-15,0.0,0.0,0.0,108.0
395,2020-07-16,1.0,0.0,0.0,108.0
394,2020-07-17,0.0,0.0,0.0,108.0
393,2020-07-18,0.0,0.0,0.0,108.0
392,2020-07-19,2.0,0.0,0.0,108.0
391,2020-07-20,0.0,0.0,0.0,108.0
390,2020-07-21,0.0,0.0,0.0,108.0
389,2020-07-22,0.0,0.0,0.0,108.0
388,2020-07-23,2.0,0.0,0.0,108.0
387,2020-07-24,1.0,0.0,0.0,108.0
386,2020-07-25,0.0,0.0,0.0,108.0
385,2020-07-26,2.0,0.0,1.0,109.0
384,2020-07-27,1.0,0.0,0.0,109.0
383,2020-07-28,1.0,0.0,0.0,109.0
382,2020-07-29,2.0,0.0,0.0,109.0
381,2020-07-30,3.0,0.0,0.0,109.0
380,2020-07-31,1.0,0.0,1.0,110.0
379,2020-08-01,2.0,0.0,0.0,110.0
378,2020-08-02,0.0,0.0,0.0,110.0
377,2020-08-03,1.0,0.0,0.0,110.0
376,2020-08-04,2.0,0.0,0.0,110.0
375,2020-08-05,5.0,0.0,0.0,110.0
374,2020-08-06,2.0,0.0,0.0,110.0
373,2020-08-07,5.0,0.0,0.0,110.0
372,2020-08-08,2.0,0.0,0.0,110.0
371,2020-08-09,2.0,0.0,0.0,110.0
370,2020-08-10,1.0,0.0,0.0,110.0
369,2020-08-11,6.0,0.0,0.0,110.0
368,2020-08-12,6.0,0.0,0.0,110.0
367,2020-08-13,0.0,0.0,0.0,110.0
366,2020-08-14,4.0,0.0,0.0,110.0
365,2020-08-15,3.0,0.0,0.0,110.0
364,2020-08-16,4.0,0.0,0.0,110.0
363,2020-08-17,4.0,0.0,0.0,110.0
362,2020-08-18,1.0,0.0,0.0,110.0
361,2020-08-19,2.0,0.0,0.0,110.0
360,2020-08-20,3.0,0.0,0.0,110.0
359,2020-08-21,7.0,0.0,0.0,110.0
358,2020-08-22,3.0,0.0,0.0,110.0
357,2020-08-23,3.0,0.0,0.0,110.0
356,2020-08-24,6.0,0.0,0.0,110.0
355,2020-08-25,3.0,0.0,0.0,110.0
354,2020-08-26,2.0,0.0,0.0,110.0
353,2020-08-27,3.0,0.0,0.0,110.0
352,2020-08-28,4.0,0.0,0.0,110.0
351,2020-08-29,2.0,0.0,0.0,110.0
350,2020-08-30,1.0,0.0,0.0,110.0
349,2020-08-31,2.0,0.0,0.0,110.0
348,2020-09-01,4.0,0.0,0.0,110.0
347,2020-09-02,1.0,0.0,0.0,110.0
346,2020-09-03,4.0,0.0,0.0,110.0
345,2020-09-04,5.0,0.0,0.0,110.0
344,2020-09-05,5.0,0.0,0.0,110.0
343,2020-09-06,5.0,0.0,0.0,110.0
342,2020-09-07,5.0,0.0,0.0,110.0
341,2020-09-08,9.0,0.0,0.0,110.0
340,2020-09-09,9.0,0.0,0.0,110.0
339,2020-09-10,8.0,0.0,0.0,110.0
338,2020-09-11,4.0,0.0,0.0,110.0
337,2020-09-12,4.0,0.0,0.0,110.0
336,2020-09-13,2.0,0.0,0.0,110.0
335,2020-09-14,4.0,0.0,0.0,110.0
334,2020-09-15,7.0,0.0,0.0,110.0
333,2020-09-16,2.0,0.0,0.0,110.0
332,2020-09-17,10.0,0.0,0.0,110.0
331,2020-09-18,9.0,0.0,0.0,110.0
330,2020-09-19,4.0,0.0,0.0,110.0
329,2020-09-20,10.0,0.0,0.0,110.0
328,2020-09-21,5.0,0.0,0.0,110.0
327,2020-09-22,5.0,0.0,0.0,110.0
326,2020-09-23,14.0,0.0,0.0,110.0
325,2020-09-24,13.0,0.0,0.0,110.0
324,2020-09-25,8.0,0.0,0.0,110.0
323,2020-09-26,6.0,0.0,0.0,110.0
322,2020-09-27,10.0,0.0,0.0,110.0
321,2020-09-28,4.0,0.0,0.0,110.0
320,2020-09-29,6.0,0.0,0.0,110.0
319,2020-09-30,11.0,0.0,0.0,110.0
